id_orden;cliente_id_cliente;fecha_orden
108;10804;2023-01-22
109;18937;2023-01-17
110;10107;2023-01-23
111;1041;2023-01-24
112;12608;2023-01-12
113;13955;2023-01-04
114;16702;2023-01-04
115;5352;2023-01-24
116;3929;2023-01-22
117;17259;2023-01-06
118;18326;2023-01-26
119;16458;2023-01-06
120;16542;2023-01-21
121;3318;2023-01-19
122;19640;2023-01-12
123;6946;2023-01-07
124;2652;2023-01-15
125;19913;2023-01-27
126;16933;2023-01-29
127;5824;2023-01-04
128;12742;2023-01-05
129;17278;2023-01-05
130;5159;2023-01-06
131;351;2023-01-01
132;19182;2023-01-27
133;9124;2023-01-04
134;6511;2023-01-14
135;14524;2023-01-28
136;952;2023-01-06
137;10156;2023-01-25
138;5066;2023-01-30
139;2176;2023-01-21
140;13554;2023-01-16
141;1060;2023-01-28
142;971;2023-01-03
143;10315;2023-01-26
144;13220;2023-01-23
145;123;2023-01-19
146;9986;2023-01-29
147;5657;2023-01-16
148;16216;2023-01-17
149;8933;2023-01-19
150;17457;2023-01-24
151;663;2023-01-30
152;18206;2023-01-06
153;11606;2023-01-18
154;8154;2023-01-09
155;13131;2023-01-26
156;19505;2023-01-16
157;4730;2023-01-05
158;17109;2023-01-15
159;8495;2023-01-24
160;13993;2023-01-31
161;18573;2023-01-04
162;10908;2023-01-09
163;4117;2023-01-20
164;17784;2023-01-18
165;17289;2023-01-09
166;17710;2023-01-21
167;8405;2023-01-12
168;2265;2023-01-02
169;5612;2023-01-23
170;9528;2023-01-08
171;5957;2023-01-10
172;13183;2023-01-10
173;4120;2023-01-29
174;7059;2023-01-12
175;5688;2023-01-27
176;14079;2023-01-08
177;14895;2023-01-03
178;1044;2023-01-24
179;1509;2023-01-09
180;15435;2023-01-07
181;2474;2023-01-31
182;19018;2023-01-15
183;119;2023-01-21
184;12324;2023-01-21
185;7233;2023-01-13
186;16093;2023-01-28
187;2282;2023-01-03
188;5219;2023-01-28
189;8185;2023-01-25
190;1756;2023-01-12
191;7051;2023-01-03
192;14063;2023-01-05
193;1108;2023-01-28
194;13013;2023-01-13
195;19836;2023-01-29
196;9560;2023-01-04
197;11433;2023-01-22
198;13901;2023-01-10
199;4424;2023-01-04
200;13076;2023-01-10
201;1876;2023-01-28
202;2028;2023-01-24
203;7742;2023-01-14
204;16170;2023-01-19
205;15058;2023-01-28
206;9924;2023-01-05
207;6453;2023-01-26
208;6431;2023-01-07
209;19260;2023-01-26
210;7578;2023-01-23
211;15564;2023-01-03
212;2822;2023-01-20
213;12290;2023-01-17
214;8069;2023-01-07
215;15785;2023-01-27
216;8160;2023-01-15
217;4814;2023-01-16
218;11609;2023-01-17
219;8205;2023-01-18
220;11791;2023-01-08
221;18631;2023-01-19
222;13199;2023-01-11
223;12340;2023-01-18
224;78;2023-01-05
225;6196;2023-01-23
226;10432;2023-01-08
227;13953;2023-01-08
228;16074;2023-01-21
229;15328;2023-01-27
230;19989;2023-01-29
231;1271;2023-01-18
232;2634;2023-01-24
233;1686;2023-01-04
234;5751;2023-01-25
235;13707;2023-01-23
236;11518;2023-01-20
237;13392;2023-01-18
238;18916;2023-01-16
239;15234;2023-01-27
240;7989;2023-01-31
241;3340;2023-01-24
242;14552;2023-01-17
243;6958;2023-01-26
244;5311;2023-01-07
245;19485;2023-01-07
246;2884;2023-01-10
247;6463;2023-01-14
248;2718;2023-01-06
249;6782;2023-01-29
250;6957;2023-01-15
251;8116;2023-01-22
252;16809;2023-01-26
253;13398;2023-01-13
254;376;2023-01-05
255;11048;2023-01-30
256;9456;2023-01-30
257;14245;2023-01-11
258;12926;2023-01-15
259;1829;2023-01-20
260;5965;2023-01-11
261;7581;2023-01-15
262;13285;2023-01-25
263;2405;2023-01-23
264;13048;2023-01-21
265;7830;2023-01-09
266;8342;2023-01-08
267;16022;2023-01-27
268;19232;2023-01-02
269;5117;2023-01-30
270;3521;2023-01-01
271;8757;2023-01-09
272;15368;2023-01-17
273;9672;2023-01-07
274;13593;2023-01-11
275;6361;2023-01-07
276;9038;2023-01-24
277;14566;2023-01-07
278;4875;2023-01-14
279;14331;2023-01-01
280;11075;2023-01-08
281;8761;2023-01-26
282;10014;2023-01-13
283;15101;2023-01-02
284;19331;2023-01-09
285;13066;2023-01-16
286;4387;2023-01-08
287;19784;2023-01-07
288;11617;2023-01-06
289;12178;2023-01-15
290;8069;2023-01-09
291;1072;2023-01-28
292;7361;2023-01-21
293;19095;2023-01-05
294;7090;2023-01-13
295;3099;2023-01-01
296;16553;2023-01-15
297;19862;2023-01-26
298;15789;2023-01-28
299;16181;2023-01-05
300;12847;2023-01-17
301;14440;2023-01-05
302;16940;2023-01-09
303;18535;2023-01-24
304;11914;2023-01-01
305;17738;2023-01-01
306;18602;2023-01-28
307;11769;2023-01-18
308;160;2023-01-14
309;18914;2023-01-07
310;15413;2023-01-10
311;5599;2023-01-30
312;12027;2023-01-17
313;7472;2023-01-19
314;7687;2023-01-06
315;14465;2023-01-05
316;5659;2023-01-25
317;13315;2023-01-15
318;14667;2023-01-08
319;13437;2023-01-20
320;4985;2023-01-24
321;19809;2023-01-02
322;18452;2023-01-31
323;15575;2023-01-11
324;13195;2023-01-11
325;13173;2023-01-15
326;19981;2023-01-21
327;3622;2023-01-29
328;7671;2023-01-22
329;13861;2023-01-03
330;19857;2023-01-11
331;17795;2023-01-02
332;5064;2023-01-11
333;160;2023-01-29
334;16649;2023-01-28
335;18217;2023-01-29
336;5606;2023-01-30
337;6967;2023-01-03
338;16697;2023-01-03
339;9626;2023-01-27
340;2904;2023-01-09
341;19587;2023-01-08
342;9688;2023-01-10
343;5526;2023-01-07
344;1349;2023-01-10
345;16417;2023-01-11
346;136;2023-01-10
347;4522;2023-01-20
348;16536;2023-01-24
349;5066;2023-01-21
350;2905;2023-01-22
351;8064;2023-01-23
352;444;2023-01-10
353;1199;2023-01-10
354;13022;2023-01-12
355;11155;2023-01-03
356;2088;2023-01-23
357;5109;2023-01-10
358;13337;2023-01-27
359;10388;2023-01-03
360;6030;2023-01-15
361;3611;2023-01-20
362;4654;2023-01-27
363;19387;2023-01-26
364;12482;2023-01-24
365;6405;2023-01-27
366;250;2023-01-22
367;6817;2023-01-04
368;17740;2023-01-15
369;5131;2023-01-20
370;8987;2023-01-17
371;11905;2023-01-02
372;424;2023-01-14
373;18458;2023-01-21
374;11663;2023-01-02
375;7270;2023-01-03
376;10634;2023-01-24
377;7012;2023-01-29
378;18339;2023-01-12
379;13;2023-01-14
380;1411;2023-01-23
381;3493;2023-01-16
382;15605;2023-01-04
383;10739;2023-01-27
384;18966;2023-01-06
385;4305;2023-01-07
386;4900;2023-01-04
387;2625;2023-01-13
388;4774;2023-01-13
389;18084;2023-01-31
390;17953;2023-01-27
391;10005;2023-01-14
392;18524;2023-01-30
393;5942;2023-01-20
394;4714;2023-01-06
395;12422;2023-01-04
396;683;2023-01-15
397;12185;2023-01-10
398;1644;2023-01-22
399;18249;2023-01-16
400;1381;2023-01-18
401;11980;2023-01-29
402;19006;2023-01-09
403;3507;2023-01-29
404;5596;2023-01-19
405;4556;2023-01-30
406;7784;2023-01-27
407;877;2023-01-18
408;19690;2023-01-05
409;11260;2023-01-11
410;10423;2023-01-10
411;15476;2023-01-15
412;6162;2023-01-16
413;16111;2023-01-18
414;11258;2023-01-23
415;4508;2023-01-22
416;15671;2023-01-27
417;4289;2023-01-21
418;16219;2023-01-09
419;11991;2023-01-06
420;4034;2023-01-30
421;19147;2023-01-17
422;731;2023-01-05
423;18096;2023-01-23
424;12583;2023-01-31
425;18682;2023-01-23
426;9346;2023-01-05
427;16763;2023-01-18
428;16504;2023-01-02
429;326;2023-01-12
430;7080;2023-01-17
431;8776;2023-01-23
432;5072;2023-01-12
433;5332;2023-01-14
434;7090;2023-01-14
435;1896;2023-01-07
436;3288;2023-01-27
437;10941;2023-01-01
438;11390;2023-01-11
439;3841;2023-01-11
440;14889;2023-01-23
441;10861;2023-01-15
442;15076;2023-01-11
443;14423;2023-01-17
444;16402;2023-01-24
445;1985;2023-01-03
446;732;2023-01-31
447;19381;2023-01-01
448;972;2023-01-11
449;9010;2023-01-07
450;10263;2023-01-05
451;7046;2023-01-24
452;5393;2023-01-23
453;11735;2023-01-11
454;14486;2023-01-14
455;13304;2023-01-08
456;18945;2023-01-20
457;7669;2023-01-20
458;12683;2023-01-08
459;11873;2023-01-30
460;7897;2023-01-15
461;2748;2023-01-01
462;5776;2023-01-15
463;517;2023-01-31
464;7660;2023-01-06
465;482;2023-01-07
466;17174;2023-01-06
467;6156;2023-01-18
468;18428;2023-01-29
469;18073;2023-01-15
470;5317;2023-01-12
471;15807;2023-01-11
472;9092;2023-01-25
473;10109;2023-01-14
474;5637;2023-01-14
475;1652;2023-01-16
476;493;2023-01-27
477;11564;2023-01-25
478;14697;2023-01-11
479;11691;2023-01-26
480;14405;2023-01-12
481;16500;2023-01-30
482;10265;2023-01-03
483;7500;2023-01-02
484;10431;2023-01-20
485;9022;2023-01-27
486;16929;2023-01-05
487;4473;2023-01-01
488;8026;2023-01-05
489;12829;2023-01-23
490;16522;2023-01-31
491;3465;2023-01-04
492;11856;2023-01-20
493;12183;2023-01-14
494;2788;2023-01-24
495;4056;2023-01-28
496;5784;2023-01-13
497;2107;2023-01-26
498;15268;2023-01-30
499;5011;2023-01-24
500;906;2023-01-14
501;8735;2023-01-26
502;19136;2023-01-30
503;1350;2023-01-08
504;11774;2023-01-24
505;18281;2023-01-13
506;19795;2023-01-23
507;19308;2023-01-05
508;6470;2023-01-28
509;8328;2023-01-29
510;17630;2023-01-08
511;3490;2023-01-31
512;8031;2023-01-22
513;2569;2023-01-01
514;6177;2023-01-21
515;2323;2023-01-01
516;3187;2023-01-20
517;17446;2023-01-19
518;19783;2023-01-06
519;4511;2023-01-23
520;223;2023-01-01
521;19599;2023-01-11
522;5896;2023-01-16
523;6187;2023-01-05
524;10448;2023-01-12
525;11048;2023-01-14
526;5494;2023-01-04
527;15328;2023-01-26
528;6246;2023-01-16
529;6953;2023-01-17
530;5091;2023-01-05
531;2509;2023-01-27
532;14574;2023-01-01
533;6284;2023-01-30
534;2821;2023-01-14
535;959;2023-01-21
536;15725;2023-01-06
537;2034;2023-01-18
538;14721;2023-01-31
539;8105;2023-01-25
540;18858;2023-01-27
541;13774;2023-01-11
542;595;2023-01-18
543;12847;2023-01-15
544;17962;2023-01-09
545;6358;2023-01-09
546;19138;2023-01-23
547;12268;2023-01-05
548;16984;2023-01-22
549;12346;2023-01-03
550;8890;2023-01-15
551;8467;2023-01-30
552;8682;2023-01-29
553;13151;2023-01-25
554;8051;2023-01-30
555;5717;2023-01-08
556;3122;2023-01-06
557;2815;2023-01-31
558;17689;2023-01-11
559;15201;2023-01-24
560;12514;2023-01-06
561;3811;2023-01-03
562;6991;2023-01-07
563;4075;2023-01-01
564;10212;2023-01-22
565;231;2023-01-15
566;9089;2023-01-30
567;2956;2023-01-22
568;12773;2023-01-13
569;16189;2023-01-20
570;905;2023-01-26
571;6543;2023-01-16
572;6973;2023-01-16
573;600;2023-01-15
574;637;2023-01-05
575;17302;2023-01-25
576;3388;2023-01-16
577;9064;2023-01-21
578;18703;2023-01-21
579;13892;2023-01-27
580;14013;2023-01-05
581;4925;2023-01-28
582;18763;2023-01-02
583;13168;2023-01-16
584;15830;2023-01-18
585;1807;2023-01-21
586;7090;2023-01-01
587;7036;2023-01-15
588;16394;2023-01-20
589;32;2023-01-04
590;5168;2023-01-19
591;10807;2023-01-16
592;4033;2023-01-23
593;10865;2023-01-02
594;5938;2023-01-18
595;7848;2023-01-19
596;11823;2023-01-11
597;8395;2023-01-01
598;4695;2023-01-21
599;15373;2023-01-29
600;4634;2023-01-31
601;5396;2023-01-11
602;12853;2023-01-31
603;15275;2023-01-17
604;17239;2023-01-08
605;10467;2023-01-24
606;8833;2023-01-08
607;19890;2023-01-20
608;5708;2023-01-09
609;7361;2023-01-15
610;5828;2023-01-27
611;2507;2023-01-30
612;14267;2023-01-01
613;15847;2023-01-19
614;862;2023-01-01
615;18741;2023-01-30
616;14586;2023-01-28
617;14273;2023-01-04
618;18868;2023-01-12
619;11201;2023-01-21
620;9329;2023-01-28
621;9796;2023-01-23
622;1766;2023-01-15
623;16876;2023-01-03
624;4894;2023-01-19
625;17368;2023-01-12
626;6866;2023-01-17
627;9766;2023-01-08
628;1859;2023-01-05
629;3064;2023-01-27
630;11607;2023-01-30
631;17012;2023-01-29
632;18124;2023-01-24
633;11351;2023-01-11
634;7290;2023-01-29
635;7973;2023-01-06
636;19648;2023-01-17
637;3790;2023-01-16
638;18697;2023-01-11
639;4897;2023-01-13
640;5823;2023-01-10
641;8267;2023-01-27
642;13655;2023-01-01
643;6154;2023-01-24
644;15021;2023-01-28
645;5685;2023-01-21
646;6356;2023-01-31
647;14924;2023-01-05
648;976;2023-01-14
649;4616;2023-01-24
650;19442;2023-01-13
651;14763;2023-01-27
652;18327;2023-01-24
653;6685;2023-01-04
654;15212;2023-01-02
655;1524;2023-01-05
656;11433;2023-01-16
657;843;2023-01-28
658;6576;2023-01-21
659;2483;2023-01-03
660;2206;2023-01-26
661;8188;2023-01-16
662;18320;2023-01-12
663;16136;2023-01-15
664;4400;2023-01-14
665;13717;2023-01-11
666;17958;2023-01-28
667;11882;2023-01-04
668;902;2023-01-29
669;19974;2023-01-11
670;5619;2023-01-02
671;18508;2023-01-11
672;5997;2023-01-16
673;16545;2023-01-01
674;19580;2023-01-18
675;3445;2023-01-13
676;11451;2023-01-02
677;5909;2023-01-27
678;9173;2023-01-09
679;6125;2023-01-11
680;4484;2023-01-25
681;15007;2023-01-11
682;6458;2023-01-08
683;4598;2023-01-03
684;2983;2023-01-26
685;12035;2023-01-20
686;7671;2023-01-08
687;18110;2023-01-28
688;19062;2023-01-09
689;18862;2023-01-05
690;12116;2023-01-01
691;2952;2023-01-07
692;5631;2023-01-20
693;6029;2023-01-19
694;17133;2023-01-03
695;6654;2023-01-23
696;2800;2023-01-22
697;592;2023-01-14
698;18778;2023-01-07
699;18821;2023-01-07
700;7025;2023-01-10
701;8653;2023-01-08
702;8821;2023-01-22
703;7911;2023-01-20
704;17579;2023-01-02
705;7612;2023-01-26
706;3498;2023-01-24
707;8671;2023-01-26
708;13084;2023-01-13
709;1595;2023-01-01
710;12380;2023-01-19
711;18033;2023-01-09
712;11227;2023-01-26
713;14492;2023-01-05
714;14457;2023-01-16
715;8402;2023-01-12
716;12347;2023-01-10
717;11045;2023-01-20
718;18322;2023-01-12
719;17977;2023-01-10
720;4740;2023-01-28
721;6117;2023-01-30
722;13583;2023-01-08
723;9761;2023-01-26
724;5091;2023-01-30
725;12433;2023-01-21
726;3511;2023-01-06
727;15910;2023-01-23
728;230;2023-01-24
729;8851;2023-01-17
730;11470;2023-01-08
731;4539;2023-01-12
732;19465;2023-01-16
733;13452;2023-01-11
734;922;2023-01-30
735;2442;2023-01-07
736;6545;2023-01-23
737;7564;2023-01-24
738;19873;2023-01-04
739;16794;2023-01-12
740;18371;2023-01-19
741;13680;2023-01-11
742;4819;2023-01-27
743;7237;2023-01-01
744;15213;2023-01-06
745;17732;2023-01-16
746;15616;2023-01-17
747;18674;2023-01-30
748;18212;2023-01-01
749;10835;2023-01-28
750;16026;2023-01-10
751;9214;2023-01-26
752;6145;2023-01-11
753;14936;2023-01-09
754;13111;2023-01-22
755;1823;2023-01-24
756;17905;2023-01-21
757;19306;2023-01-17
758;7445;2023-01-08
759;5257;2023-01-15
760;19423;2023-01-24
761;1782;2023-01-20
762;12255;2023-01-02
763;12852;2023-01-31
764;18207;2023-01-27
765;16711;2023-01-16
766;14868;2023-01-14
767;6848;2023-01-06
768;7413;2023-01-03
769;14431;2023-01-31
770;14844;2023-01-01
771;7703;2023-01-15
772;4397;2023-01-02
773;958;2023-01-08
774;11614;2023-01-17
775;10593;2023-01-28
776;10938;2023-01-10
777;9896;2023-01-30
778;14573;2023-01-14
779;19902;2023-01-31
780;1339;2023-01-03
781;760;2023-01-03
782;13726;2023-01-25
783;18670;2023-01-29
784;19765;2023-01-30
785;4245;2023-01-05
786;12573;2023-01-07
787;11065;2023-01-07
788;16307;2023-01-13
789;16951;2023-01-03
790;14099;2023-01-26
791;12902;2023-01-04
792;16223;2023-01-31
793;5320;2023-01-29
794;1884;2023-01-23
795;1368;2023-01-16
796;11868;2023-01-17
797;16157;2023-01-13
798;19970;2023-01-15
799;10611;2023-01-28
800;6506;2023-01-30
801;4629;2023-01-27
802;6122;2023-01-04
803;9895;2023-01-02
804;1022;2023-01-25
805;7125;2023-01-12
806;9827;2023-01-29
807;17336;2023-01-18
808;5242;2023-01-02
809;12626;2023-01-29
810;10098;2023-01-16
811;454;2023-01-28
812;14384;2023-01-22
813;17652;2023-01-05
814;6688;2023-01-12
815;3903;2023-01-31
816;6799;2023-01-25
817;6557;2023-01-11
818;6380;2023-01-26
819;9411;2023-01-03
820;2086;2023-01-17
821;11581;2023-01-30
822;6453;2023-01-03
823;13141;2023-01-31
824;18516;2023-01-18
825;15181;2023-01-21
826;7529;2023-01-23
827;13046;2023-01-03
828;12168;2023-01-16
829;10708;2023-01-17
830;12681;2023-01-07
831;14409;2023-01-31
832;3369;2023-01-29
833;5509;2023-01-10
834;13502;2023-01-25
835;420;2023-01-04
836;3565;2023-01-12
837;6595;2023-01-20
838;14561;2023-01-26
839;10929;2023-01-24
840;15826;2023-01-15
841;8558;2023-01-03
842;9618;2023-01-17
843;13281;2023-01-05
844;12404;2023-01-20
845;7161;2023-01-16
846;4133;2023-01-04
847;6312;2023-01-22
848;11371;2023-01-19
849;7459;2023-01-23
850;6769;2023-01-27
851;9596;2023-01-10
852;10530;2023-01-13
853;7709;2023-01-15
854;19097;2023-01-04
855;13820;2023-01-25
856;5429;2023-01-10
857;11971;2023-01-17
858;12104;2023-01-31
859;3013;2023-01-08
860;9558;2023-01-27
861;11776;2023-01-26
862;2144;2023-01-10
863;10460;2023-01-31
864;9138;2023-01-18
865;280;2023-01-05
866;495;2023-01-25
867;11615;2023-01-09
868;6980;2023-01-07
869;9030;2023-01-17
870;3029;2023-01-13
871;7227;2023-01-08
872;15126;2023-01-02
873;17175;2023-01-27
874;19077;2023-01-08
875;1018;2023-01-25
876;12792;2023-01-21
877;9819;2023-01-01
878;2837;2023-01-29
879;10034;2023-01-19
880;9588;2023-01-27
881;3934;2023-01-28
882;11526;2023-01-05
883;11874;2023-01-27
884;12785;2023-01-13
885;8648;2023-01-10
886;543;2023-01-02
887;14253;2023-01-07
888;19198;2023-01-07
889;8533;2023-01-04
890;9314;2023-01-08
891;19345;2023-01-07
892;9349;2023-01-24
893;17044;2023-01-21
894;9197;2023-01-19
895;19149;2023-01-01
896;6933;2023-01-04
897;6892;2023-01-09
898;15740;2023-01-18
899;2497;2023-01-07
900;11783;2023-01-18
901;18158;2023-01-18
902;15100;2023-01-23
903;2529;2023-01-16
904;2673;2023-01-26
905;18518;2023-01-19
906;15190;2023-01-08
907;1695;2023-01-06
908;12965;2023-01-14
909;17492;2023-01-18
910;4601;2023-01-23
911;17230;2023-01-19
912;5001;2023-01-03
913;6984;2023-01-08
914;15117;2023-01-14
915;8744;2023-01-27
916;2418;2023-01-15
917;13644;2023-01-15
918;8197;2023-01-23
919;16595;2023-01-31
920;18335;2023-01-15
921;8477;2023-01-22
922;13605;2023-01-11
923;1447;2023-01-08
924;12693;2023-01-18
925;4802;2023-01-28
926;17519;2023-01-09
927;16362;2023-01-02
928;5348;2023-01-02
929;10664;2023-01-10
930;10086;2023-01-24
931;10176;2023-01-11
932;12103;2023-01-17
933;18289;2023-01-15
934;1351;2023-01-16
935;9018;2023-01-20
936;18743;2023-01-21
937;3636;2023-01-23
938;46;2023-01-11
939;14368;2023-01-05
940;11869;2023-01-04
941;17094;2023-01-27
942;6681;2023-01-05
943;3941;2023-01-18
944;17491;2023-01-16
945;11138;2023-01-01
946;2984;2023-01-18
947;484;2023-01-09
948;6065;2023-01-23
949;8291;2023-01-10
950;17138;2023-01-13
951;13427;2023-01-25
952;7063;2023-01-19
953;17575;2023-01-12
954;16334;2023-01-11
955;12296;2023-01-02
956;17667;2023-01-04
957;11476;2023-01-31
958;18447;2023-01-25
959;688;2023-01-28
960;16386;2023-01-08
961;2202;2023-01-23
962;14898;2023-01-07
963;14264;2023-01-05
964;13106;2023-01-14
965;4709;2023-01-04
966;1449;2023-01-19
967;2753;2023-01-01
968;17002;2023-01-30
969;18911;2023-01-05
970;12225;2023-01-08
971;8731;2023-01-10
972;19988;2023-01-23
973;5330;2023-01-18
974;8078;2023-01-14
975;1316;2023-01-11
976;15760;2023-01-09
977;19594;2023-01-22
978;13666;2023-01-13
979;492;2023-01-30
980;19847;2023-01-31
981;16076;2023-01-28
982;14791;2023-01-30
983;8347;2023-01-28
984;14770;2023-01-28
985;19874;2023-01-22
986;2980;2023-01-31
987;7429;2023-01-18
988;12352;2023-01-17
989;18105;2023-01-31
990;9629;2023-01-31
991;9937;2023-01-07
992;12582;2023-01-24
993;3390;2023-01-29
994;5070;2023-01-28
995;10462;2023-01-26
996;6257;2023-01-07
997;279;2023-01-09
998;4728;2023-01-17
999;2218;2023-01-24
1000;18482;2023-01-03
1001;19356;2023-02-07
1002;9043;2023-02-15
1003;403;2023-02-28
1004;16509;2023-02-17
1005;10292;2023-02-23
1006;8489;2023-02-13
1007;7186;2023-02-12
1008;17328;2023-02-27
1009;8149;2023-02-21
1010;4458;2023-02-06
1011;9649;2023-02-09
1012;13660;2023-02-05
1013;19359;2023-02-05
1014;11339;2023-02-23
1015;12519;2023-02-28
1016;3433;2023-02-13
1017;1918;2023-02-27
1018;13443;2023-02-12
1019;1083;2023-02-20
1020;3904;2023-02-12
1021;12389;2023-02-26
1022;16953;2023-02-12
1023;9231;2023-02-20
1024;10243;2023-02-25
1025;14487;2023-02-11
1026;15410;2023-02-24
1027;6997;2023-02-04
1028;8489;2023-02-16
1029;9608;2023-02-22
1030;19986;2023-02-19
1031;16366;2023-02-13
1032;18380;2023-02-28
1033;18161;2023-02-16
1034;11841;2023-02-06
1035;14282;2023-02-17
1036;16738;2023-02-06
1037;14214;2023-02-18
1038;14256;2023-02-17
1039;4296;2023-02-26
1040;11696;2023-02-17
1041;10604;2023-02-08
1042;15751;2023-02-09
1043;9973;2023-02-08
1044;1648;2023-02-08
1045;19654;2023-02-19
1046;4062;2023-02-26
1047;12070;2023-02-26
1048;5442;2023-02-24
1049;8744;2023-02-28
1050;13232;2023-02-24
1051;18115;2023-02-10
1052;5570;2023-02-27
1053;7490;2023-02-18
1054;18294;2023-02-20
1055;7157;2023-02-05
1056;19751;2023-02-01
1057;10522;2023-02-25
1058;6089;2023-02-17
1059;19142;2023-02-13
1060;6017;2023-02-01
1061;7192;2023-02-18
1062;12535;2023-02-07
1063;17422;2023-02-03
1064;6176;2023-02-09
1065;5367;2023-02-16
1066;11299;2023-02-06
1067;7941;2023-02-20
1068;13064;2023-02-16
1069;14040;2023-02-02
1070;4377;2023-02-23
1071;19135;2023-02-06
1072;15242;2023-02-07
1073;16553;2023-02-10
1074;12489;2023-02-03
1075;14830;2023-02-19
1076;11729;2023-02-02
1077;5920;2023-02-05
1078;171;2023-02-10
1079;4177;2023-02-08
1080;9638;2023-02-03
1081;4066;2023-02-12
1082;6514;2023-02-22
1083;16491;2023-02-06
1084;18594;2023-02-23
1085;3141;2023-02-14
1086;11359;2023-02-12
1087;1269;2023-02-12
1088;18272;2023-02-07
1089;10998;2023-02-18
1090;5202;2023-02-10
1091;6869;2023-02-24
1092;19473;2023-02-02
1093;2954;2023-02-11
1094;15606;2023-02-02
1095;3014;2023-02-04
1096;13324;2023-02-02
1097;12126;2023-02-21
1098;18972;2023-02-04
1099;8044;2023-02-25
1100;5174;2023-02-05
1101;13796;2023-02-07
1102;10016;2023-02-08
1103;4505;2023-02-15
1104;12237;2023-02-06
1105;501;2023-02-07
1106;6920;2023-02-18
1107;5234;2023-02-18
1108;7766;2023-02-16
1109;8781;2023-02-10
1110;8968;2023-02-01
1111;16025;2023-02-01
1112;3621;2023-02-03
1113;18737;2023-02-11
1114;1624;2023-02-09
1115;15328;2023-02-26
1116;19116;2023-02-26
1117;14541;2023-02-20
1118;3843;2023-02-21
1119;14780;2023-02-17
1120;1356;2023-02-21
1121;14555;2023-02-09
1122;1449;2023-02-21
1123;9797;2023-02-08
1124;12447;2023-02-14
1125;8712;2023-02-14
1126;9531;2023-02-25
1127;12585;2023-02-15
1128;13172;2023-02-09
1129;875;2023-02-19
1130;6874;2023-02-09
1131;19508;2023-02-05
1132;1938;2023-02-17
1133;1316;2023-02-15
1134;5138;2023-02-07
1135;10970;2023-02-23
1136;5279;2023-02-03
1137;11916;2023-02-19
1138;15075;2023-02-26
1139;9511;2023-02-15
1140;14521;2023-02-18
1141;15648;2023-02-21
1142;17518;2023-02-06
1143;5417;2023-02-11
1144;2377;2023-02-27
1145;16577;2023-02-28
1146;1300;2023-02-10
1147;17750;2023-02-07
1148;9019;2023-02-20
1149;1095;2023-02-24
1150;5758;2023-02-12
1151;5970;2023-02-20
1152;14184;2023-02-25
1153;10050;2023-02-14
1154;13805;2023-02-03
1155;19262;2023-02-03
